Date,Open,High,Low,Close,Adj Close,Volume
2018-12-28,2498.770020,2520.270020,2472.889893,2485.739990,2485.739990,3702620000
2018-12-31,2498.939941,2509.239990,2482.820068,2506.850098,2506.850098,3442870000
2019-01-02,2476.959961,2519.489990,2467.469971,2510.030029,2510.030029,3733160000
2019-01-03,2491.919922,2493.139893,2443.959961,2447.889893,2447.889893,3822860000
2019-01-04,2474.330078,2538.070068,2474.330078,2531.939941,2531.939941,4213410000
2019-01-07,2535.610107,2566.159912,2524.560059,2549.689941,2549.689941,4104710000
2019-01-08,2568.110107,2579.820068,2547.560059,2574.409912,2574.409912,4083030000
2019-01-09,2580.000000,2595.320068,2568.889893,2584.959961,2584.959961,4052480000
2019-01-10,2573.510010,2597.820068,2562.020020,2596.639893,2596.639893,3704500000
2019-01-11,2588.110107,2596.270020,2577.399902,2596.260010,2596.260010,3434490000
2019-01-14,2580.310059,2589.320068,2570.409912,2582.610107,2582.610107,3664450000
2019-01-15,2585.100098,2613.080078,2585.100098,2610.300049,2610.300049,3572330000
2019-01-16,2614.750000,2625.760010,2612.679932,2616.100098,2616.100098,3863770000
2019-01-17,2609.280029,2645.060059,2606.360107,2635.959961,2635.959961,3772270000
2019-01-18,2651.270020,2675.469971,2647.580078,2670.709961,2670.709961,3986730000
2019-01-22,2657.879883,2657.879883,2617.270020,2632.899902,2632.899902,3908030000
2019-01-23,2643.479980,2653.189941,2612.860107,2638.699951,2638.699951,3335610000
2019-01-24,2638.840088,2647.199951,2627.010010,2642.330078,2642.330078,3433250000
2019-01-25,2657.439941,2672.379883,2657.330078,2664.760010,2664.760010,3814080000
2019-01-28,2644.969971,2644.969971,2624.060059,2643.850098,2643.850098,3612810000
2019-01-29,2644.889893,2650.929932,2631.050049,2640.000000,2640.000000,3504200000
2019-01-30,2653.620117,2690.439941,2648.340088,2681.050049,2681.050049,3857810000
2019-01-31,2685.489990,2708.949951,2678.649902,2704.100098,2704.100098,4917650000
